Wavelengths (nm),Intensities (a.u)
675.0,1813.0
676.0,1816.5
677.0,1814.5
678.0,1812.0
679.0,1815.5
680.0,1820.0
681.0,1811.5
682.0,1814.5
683.0,1818.0
684.0,1817.0
685.0,1815.0
686.0,1815.0
687.0,1812.5
688.0,1821.0
689.0,1813.0
690.0,1812.5
691.0,1817.0
692.0,1814.5
693.0,1812.0
694.0,1814.0
695.0,1808.0
696.0,1813.0
697.0,1813.0
698.0,1810.5
699.0,1810.5
700.0,1807.5
701.0,1810.0
702.0,1813.0
703.0,1810.5
704.0,1810.5
705.0,1812.0
706.0,1809.0
707.0,1811.5
708.0,1812.0
709.0,1814.0
710.0,1808.0
711.0,1810.5
712.0,1811.0
713.0,1809.0
714.0,1811.0
715.0,1807.5
716.0,1807.5
717.0,1804.0
718.0,1807.6666666666667
719.0,1809.5
720.0,1808.5
721.0,1807.0
722.0,1805.5
723.0,1808.0
724.0,1805.5
725.0,1804.5
726.0,1804.0
727.0,1801.0
728.0,1804.5
729.0,1807.5
730.0,1802.0
731.0,1807.0
732.0,1801.0
733.0,1802.5
734.0,1803.0
735.0,1806.0
736.0,1801.0
737.0,1804.5
738.0,1805.5
739.0,1802.5
740.0,1799.5
741.0,1803.0
742.0,1801.0
743.0,1806.0
744.0,1797.0
745.0,1802.5
746.0,1809.0
747.0,1805.0
748.0,1809.0
749.0,1801.0
750.0,1800.0
751.0,1802.0
752.0,1800.5
753.0,1804.5
754.0,1798.5
755.0,1799.5
756.0,1801.0
757.0,1804.5
758.0,1799.3333333333333
759.0,1800.5
760.0,1799.0
761.0,1802.5
762.0,1797.0
763.0,1802.0
764.0,1799.0
765.0,1798.5
766.0,1798.0
767.0,1800.0
768.0,1797.5
769.0,1797.5
770.0,1798.0
771.0,1793.5
772.0,1793.5
773.0,1796.5
774.0,1795.0
775.0,1798.0
776.0,1796.5
777.0,1797.0
778.0,1791.5
779.0,1790.5
780.0,1793.5
781.0,1795.5
782.0,1793.5
783.0,1797.6666666666667
784.0,1791.5
785.0,1795.0
786.0,1786.5
787.0,1792.0
788.0,1790.5
789.0,1791.0
790.0,1790.0
791.0,1793.0
792.0,1786.0
793.0,1792.5
794.0,1789.0
795.0,1793.0
796.0,1785.5
797.0,1788.5
798.0,1788.0
799.0,1793.5
800.0,1791.5
801.0,1787.0
802.0,1779.5
803.0,1791.5
804.0,1786.5
805.0,1790.0
806.0,1784.5
807.0,1786.0
808.0,1784.0
809.0,1784.0
810.0,1789.0
811.0,1790.5
812.0,1788.0
813.0,1790.0
814.0,1787.0
815.0,1789.5
816.0,1785.0
817.0,1788.5
818.0,1785.3333333333333
819.0,1785.5
820.0,1787.5
821.0,1786.5
822.0,1782.0
