Latitude,Longitude,Depth_in_Feet
17.97136666666667,-67.013,10.52
17.971383333333332,-67.01298333333334,10.48
17.971383333333332,-67.01298333333334,10.48
17.9714,-67.01298333333334,10.50
17.971416666666666,-67.01298333333334,10.52
17.971433333333334,-67.01296666666667,10.55
17.97145,-67.01296666666667,10.52
17.971466666666668,-67.01296666666667,10.57
17.97148333333333,-67.01295,10.50
17.9715,-67.01295,10.52
17.9715,-67.01295,10.55
17.971516666666666,-67.01295,10.45
17.971533333333333,-67.01293333333334,10.52
17.97155,-67.01293333333334,10.55
17.971566666666668,-67.01293333333334,10.55
17.971583333333335,-67.01293333333334,10.50
17.9716,-67.01291666666667,10.57
17.971616666666666,-67.01291666666667,10.55
17.971633333333333,-67.0129,10.65
17.971666666666668,-67.0129,10.62
17.971683333333335,-67.01288333333333,10.55
17.9717,-67.01288333333333,10.55
17.971716666666666,-67.01286666666667,10.55
17.971733333333333,-67.01286666666667,10.57
17.97175,-67.01286666666667,10.57
17.971766666666667,-67.01285,10.65
17.971783333333335,-67.01285,10.60
17.9718,-67.01285,10.60
17.971816666666665,-67.01285,10.55
17.971833333333333,-67.01283333333333,10.70
17.97185,-67.01283333333333,10.60
17.971866666666667,-67.01283333333333,10.60
17.9719,-67.01281666666667,10.55
17.971916666666665,-67.01281666666667,10.60
17.971933333333332,-67.01281666666667,10.67
17.97195,-67.0128,10.60
17.971966666666667,-67.01278333333333,10.70
17.971983333333334,-67.01278333333333,10.70
17.972,-67.01278333333333,10.62
17.972016666666665,-67.01278333333333,10.62
17.972033333333332,-67.01276666666666,10.65
17.97205,-67.01276666666666,10.62
17.972083333333334,-67.01276666666666,10.60
17.9721,-67.01276666666666,10.57
17.97211666666667,-67.01275,10.60
17.972133333333332,-67.01275,10.52
17.972133333333332,-67.01273333333333,10.52
17.97215,-67.01273333333333,10.50
17.972166666666666,-67.01273333333333,10.60
17.972183333333334,-67.01273333333333,10.50
17.9722,-67.01273333333333,10.45
17.972216666666668,-67.01271666666666,10.41
17.97223333333333,-67.01271666666666,10.48
17.97225,-67.0127,10.43
17.972266666666666,-67.0127,10.43
17.972283333333333,-67.0127,10.41
17.9723,-67.0127,10.38
17.972316666666668,-67.01268333333333,10.45
17.972333333333335,-67.01268333333333,10.48
17.97235,-67.01266666666666,10.48
17.972366666666666,-67.01266666666666,10.45
17.972383333333333,-67.01266666666666,10.48
17.9724,-67.01266666666666,10.57
17.972433333333335,-67.01265,10.50
17.97245,-67.01265,10.55
17.97245,-67.01265,10.62
17.972466666666666,-67.01265,10.55
17.972483333333333,-67.01263333333333,10.60
17.972516666666667,-67.01261666666667,10.72
17.972516666666667,-67.01261666666667,10.74
17.97255,-67.01261666666667,10.74
17.972566666666665,-67.0126,10.82
17.972583333333333,-67.0126,10.62
17.9726,-67.01261666666667,10.79
17.9726,-67.01261666666667,10.77
17.9726,-67.01263333333333,10.72
17.972616666666667,-67.01265,10.65
17.972633333333334,-67.01266666666666,10.72
17.972633333333334,-67.01268333333333,10.74
17.97265,-67.0127,10.72
17.97265,-67.01271666666666,10.79
17.97265,-67.01271666666666,10.77
17.972633333333334,-67.01273333333333,10.72
17.972616666666667,-67.01273333333333,10.87
17.972616666666667,-67.01275,10.94
17.9726,-67.01275,10.92
17.972583333333333,-67.01276666666666,10.87
17.972566666666665,-67.01276666666666,10.92
17.97255,-67.01278333333333,10.79
17.972533333333335,-67.01278333333333,10.84
17.972533333333335,-67.0128,10.87
17.972516666666667,-67.0128,10.79
17.9725,-67.01281666666667,10.77
17.972483333333333,-67.01281666666667,10.74
17.972466666666666,-67.01283333333333,10.79
17.97245,-67.01283333333333,10.77
17.972433333333335,-67.01285,10.72
17.972416666666668,-67.01285,10.82
17.9724,-67.01286666666667,10.77
17.9724,-67.01286666666667,10.74
17.972366666666666,-67.01288333333333,10.74
17.972366666666666,-67.01288333333333,10.82
17.97235,-67.0129,10.70
17.972333333333335,-67.0129,10.89
17.972316666666668,-67.0129,10.89
17.9723,-67.01291666666667,10.79
17.972283333333333,-67.01293333333334,10.94
17.972266666666666,-67.01293333333334,10.87
17.97225,-67.01295,10.99
17.97223333333333,-67.01295,10.94
17.972216666666668,-67.01296666666667,11.11
17.9722,-67.01296666666667,11.26
17.972183333333334,-67.01298333333334,11.57
17.972166666666666,-67.01298333333334,11.84
17.97215,-67.01298333333334,12.13
17.972133333333332,-67.013,12.16
17.97211666666667,-67.01301666666667,12.26
17.9721,-67.01301666666667,11.92
17.972083333333334,-67.01303333333334,11.84
17.972066666666667,-67.01303333333334,11.57
17.97205,-67.01305,11.28
17.972033333333332,-67.01305,11.19
17.972016666666665,-67.01305,11.14
17.972,-67.01306666666666,11.09
17.971983333333334,-67.01306666666666,11.09
17.971983333333334,-67.01308333333333,11.12
17.971966666666667,-67.0131,11.07
17.97195,-67.0131,10.97
17.971933333333332,-67.01311666666666,11.09
17.971916666666665,-67.01311666666666,11.02
17.9719,-67.01313333333333,11.02
17.971883333333334,-67.01313333333333,11.09
17.971866666666667,-67.01315,11.09
17.97185,-67.01315,11.04
17.971833333333333,-67.01316666666666,11.09
17.971816666666665,-67.01316666666666,11.02
17.9718,-67.01318333333333,11.09
17.971783333333335,-67.01318333333333,11.14
17.971766666666667,-67.0132,11.31
17.97175,-67.0132,11.19
17.971733333333333,-67.0132,11.12
17.971716666666666,-67.01321666666666,11.07
17.9717,-67.01323333333333,11.07
17.971683333333335,-67.01323333333333,11.19
17.971666666666668,-67.01323333333333,11.14
17.97165,-67.01325,11.17
17.97165,-67.01325,11.14
17.971633333333333,-67.01326666666667,11.09
17.971616666666666,-67.01328333333333,11.17
17.9716,-67.01328333333333,11.14
17.971583333333335,-67.0133,11.14
17.971566666666668,-67.0133,11.19
17.97155,-67.01331666666667,11.19
17.971533333333333,-67.01331666666667,11.19
17.971533333333333,-67.01333333333334,11.14
17.97155,-67.01333333333334,11.14
17.97155,-67.01335,11.26
17.97155,-67.01338333333334,11.31
17.97155,-67.0134,11.26
17.97155,-67.01341666666667,11.34
17.97155,-67.01341666666667,11.36
17.971566666666668,-67.01343333333334,11.31
17.971566666666668,-67.01343333333334,11.38
17.971583333333335,-67.01341666666667,11.31
17.971583333333335,-67.01341666666667,11.38
17.971616666666666,-67.01341666666667,11.34
17.971633333333333,-67.01341666666667,11.29
17.97165,-67.0134,11.26
17.971666666666668,-67.0134,11.29
17.971683333333335,-67.01338333333334,11.21
17.971683333333335,-67.01338333333334,11.19
17.9717,-67.01336666666667,11.31
17.971716666666666,-67.01335,11.24
17.971733333333333,-67.01335,11.26
